,ID,DATAEN,TYPE,ISSUES,GROUPID,IDEngineTakts,ProdPhase,IDLTA,IDProject,MGMT,REPETITIVE,CLOSING_DATE,Deleted,WorkedTime,IDEnginePL,IDSUBASSEMBLYACTIVITY,EBID.ID,IDISSUE,dataupdate,CAUSES,SOLUTIONS,IDResponsible,DUEDATE,STATUS_P,STATUS_D,STATUS_C,STATUS_A,LONG_TERM_ACTION,IDDevice,ExpirationDate,OriginDept,QT,ChargedDepartment,CauseDeptGeneric,EBIDT.ID,TRISGroup,OrderGroup,IssueOrder,Location,System,Cause,TRType,IssueType,EBIDT.ChargedDepartment,VerificationResponsible,PictureBefore,PictureAfter,Status,StatusNote,InternalNotes,QuantityFactor,TimeFactor,RiskFactor,Component,IssueSubType,DateClosureAgreed,DateClosureConfirmed,IssueSubSubType,ClosedAccepted,ClosurePhotoNeeded,ShipyardCheck,CommentNotCA,QT09,VOR,ImplementationNote,MeasureTaken,CauseDepartment,QTChecked,QTDeviceID,UpdateNumber,ResolutionOrder,ItemLongText,TaskLongText,TaskOwner,TaskOwnerSAP,DATA,PP,RESPONSIBLE,Magnitude,EngineNr,IDEngineProduction,TAKT_Nr,Activity_Nr,EngineType
0,1,2017-02-06,S1,Engine block consegnata in ritardo ore 08.30,3.0,237.0,,,,0,0,2017-02-06,0,0.0,,,1,1,2017-02-06 16:57:39,,Piano di recupero in atto,191.0,S,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/02/2017,HP, Capi,,PAAE315649  p123,66.0,1,2,W18V50
1,2,2017-02-06,R1,Takt non completato ,3.0,249.0,,,,0,0,2017-02-06,0,0.0,,,2,2,2017-02-06 17:00:51,"Attesa gru da 200t, causa ritardo takt precedente ( meccaniche )",Organizzazione,191.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/02/2017,HP, Capi,,PAAE315649  p123,66.0,2,6,W18V50
2,3,2017-02-07,L4,KIT ANCORA DA PREPARARE,3.0,289.0,,,,0,0,2017-02-08,0,0.0,,,4,3,2017-02-08 14:16:31,MAGAZZINO/ACQUISTI,ATTESA MATERIALE DA FORNITORE,67.0,S,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/02/2017,HP, Gambar,,PAAE315649  p123,66.0,8,4,W18V50
3,5,2017-02-09,L4,,3.0,304.0,,,,0,0,2017-02-09,0,0.0,,,8,5,2017-02-09 20:53:24,,,,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/02/2017,HP, ,,PAAE315649  p123,66.0,11,3,W18V50
4,7,2017-02-10,T,Cassa scudi preasemblati instabile,3.0,307.0,,,,0,0,2017-02-10,0,0.0,,,10,7,2017-02-10 09:31:37,cassa non idonea per qualsiasi tipo di spostamento.,IN FASE DI STUDIO PALLET DEDICATO,44.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/02/2017,HP, Gambarini,,PAAE315649  p123,66.0,12,1,W18V50
5,8,2017-02-13,S3,TROVATO TRUCCIOLI NEI FORI DELLE LATERALI,3.0,1162.0,,,,0,0,2017-02-13,0,0.0,,,11,8,2017-02-13 11:14:11,,RIPASSATO I FORI,192.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2017,HP, CAPI/T.LEADER,,PAAE315651  p125,73.0,1,2,W18V50
6,9,2017-02-13,M,TAKT NON COMPLETATO,3.0,313.0,,,,0,0,2017-02-13,0,0.0,,,12,9,2017-02-13 14:09:14,SPOSTAMENTO MOTORE DALLA LINEA 2 ALLA 1,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2017,HP, ,,PAAE315649  p123,66.0,13,T,W18V50
7,10,2017-02-13,S1,LE PORTE NON SONO PRONTE,3.0,1200.0,,,,0,0,2017-02-15,0,0.0,,,17,10,2017-02-15 09:25:21,,ARRIVATE  IN RITARDO 14/2,193.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2017,HP, FARCI/ABATE,,PAAE315651  p125,73.0,6,4,W18V50
8,11,2017-02-13,L4,MANCA TUBO OLIO PAAR056089,3.0,1203.0,,,,0,0,2017-02-15,0,0.0,,,18,11,2017-02-15 09:25:56,,ARRIVATO IN RITARDO 14/2,67.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2017,HP, Gambar,,PAAE315651  p125,73.0,7,2,W18V50
9,14,2017-02-15,L4,"PAAE125059 SIGN GROUNDING POINT, PAAE157870 LUBRICATING OIL PIPE, PAAE157918 LUBRICATING OIL PIPE, PAAE176979 LUBRICATING OIL PIPE",3.0,1607.0,,,,0,0,2017-02-28,0,0.0,,,64,14,2017-02-28 09:00:37,,IN ATTESA FORNITURA NARNEW...ARRIVATI 27/2,67.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/2017,AA, Gambar,,PAAE315649  p123,77.0,2,5S,W18V50
